L1,L3_process,Scope,Help URL,Spec,Verified by,Status,Additional info
Graphical User Interface,GUI - Web browsers - Safari,Application,,Entry point - landing page,,unchecked,
Graphical User Interface,GUI - Mobile devices - iPhone,Application,,GUI - Mobile devices - iPhone,,unchecked,
Election,Create - Single-Winner - Plurality,Application,,Plurality Voting - Single-winner - BPML,BV15,covered,
Election,Create - Single-Winner - Approval,Application,,,,unchecked,
Election,Create - Single-Winner - STAR,Application,,,,unchecked,
Election,Create - Single-Winner - Ranked Robin,Application,,,,unchecked,
Election,Create - Single-Winner - RCV IRV,Application,,,,unchecked,
Election,Create - Single-Winner - Duplicate election,Application,,,,unchecked,
Election,Create - Multi-Winner - Plurality,Application,,,,unchecked,
Election,Create - Multi-Winner - Approval,Application,,,,unchecked,
Election,Create - Multi-Winner - STAR,Application,,,,unchecked,
Election,Create - Multi-Winner - Ranked Robin,Application,,,,unchecked,
Election,Create - Multi-Winner - RCV IRV,Application,,,,unchecked,
Election,Create Election (regular),Application,,,,unchecked,
Election,Create Election (Editable Ballot),Application,,,,unchecked,
Election,Change Election (regular),Application,,,,unchecked,
Election,Change Election (Editable Ballot),Application,,,,unchecked,
Election,Election - Archive,Application,,,,unchecked,
Election,Delete - entire election,Application,,delete entire election,,gap,
Election,Delete - specific races,Application,,Delete a Race in Election,,unchecked,
Election,Display - Preliminary Results,Application,,Preliminary Results,,unchecked,
Election,Multiple Races - Add new Race,Application,,,,unchecked,
Election,Multiple Races - Copy existing Race,Application,,,,unchecked,
Election,Create Voter Reminder,Application,,,,unchecked,
Election,Create Voter Notification,Application,,,,unchecked,
Election,State Management - Overview,Application,,Election State Management - Overview,,unchecked,
Election,State / Status - Draft,Application,,Draft State,,unchecked,
Election,State / Status - Finalized,Application,,Finalized,,unchecked,
Election,State / Status - Open,Application,,Open,,unchecked,
Election,State / Status - Closed,Application,,Closed,,unchecked,
Election,State / Status - Archived,Application,,Archived,,unchecked,
