L1,L3_process,doc_cell,test_case_cell
Graphical User Interface,GUI - Web browsers - Safari,Entry point - landing page,
Graphical User Interface,GUI - Mobile devices - iPhone,GUI - Mobile devices - iPhone,
Election,Create - Single-Winner - Plurality,Plurality Voting - Single-winner - BPML,BV15
Election,Create - Single-Winner - Approval,,
Election,Create - Single-Winner - STAR,,
Election,Create - Single-Winner - Ranked Robin,,
Election,Create - Single-Winner - RCV IRV,,
Election,Create - Single-Winner - Duplicate election,,
Election,Create - Multi-Winner - Plurality,,
Election,Create - Multi-Winner - Approval,,
Election,Create - Multi-Winner - STAR,,
Election,Create - Multi-Winner - Ranked Robin,,
Election,Create - Multi-Winner - RCV IRV,,
Election,Create Election (regular),,
Election,Create Election (Editable Ballot),,
Election,Change Election (regular),,
Election,Change Election (Editable Ballot),,
Election,Election - Archive,,
Election,Delete - entire election,delete entire election,missing
Election,Delete - specific races,Delete a Race in Election,
Election,Display - Preliminary Results,Preliminary Results,
Election,Multiple Races - Add new Race,,
Election,Multiple Races - Copy existing Race,,
Election,Create Voter Reminder,,
Election,Create Voter Notification,,
Election,State Management - Overview,Election State Management - Overview,
Election,State / Status - Draft,Draft State,
Election,State / Status - Finalized,Finalized,
Election,State / Status - Open,Open,
Election,State / Status - Closed,Closed,
Election,State / Status - Archived,Archived,
Election,Verify Preference Matrix,Preference Matrix - STAR Voting,BV705
Election,Demo Election,Demo elections - main,
Vote Type,Test Mode,Demo Mode vs Test Mode,
Election,State / Status - Test,Same as Open?,
Election,Maintain Start/End Date (regular),Maintain Election Start and End Date,
Election,Maintain Start/End Date (Editable Ballot),Maintain Election Start and End Date,
Candidates,Maintain - Add Basic,,
Candidates,Maintain - Add Extended,,
Candidates,Maintain - Change Basic,,
Candidates,Maintain - Change Extended,,
Candidates,Maintain - Delete (Draft Mode),Delete Candidates,
Electors (Voters),Create Voters (initial set-up),,
Electors (Voters),Add (update existing list),,
Electors (Voters),Add Upload,,
Electors (Voters),Voter Audit / Voter Status Report,Voter Audit and Voter Status Report,
Communications,Receipt - vote confirmation to voters,Receipt - send email - main,
Upload Election,Upload Election,,
Upload Election,Validation Step - YAML Upload File,,
Upload Election,Validation Step - CSV Upload File,,
Browse,Browse elections archive (public offices),Browse elections archive,
Browse,Browse Open Elections (public),Browse Elections - Open Online,
Browse,Election visibility - publicly searchable,Election visibility,
Browse,(unnamed - placeholder),missing,BV630
Reports,Voter Audit Report,BV FS - Audit Log,
Reports,CSV Download - min 2 races,,BV610
Reports,CSV Download - 1 race,,BV615
Reports,JSON Download,,
Reports,Election results - preliminary,,
Reports,Official election results,,
Reports,Reporting Public Results,Election Results Reporting,
Reports,Show Preliminary Results,Show Preliminary Results,
Reports,Download CVR,Cast Voter Record (CVR) - BPML,BV600
Reports,Range of Scores - Stats for Nerds,Range of Scores,
Audit,Changes after vote activation,,
Authentication System,Register as Election Administrator,Create Election as Admin,
Authentication System,Register as a Voter,Register as Voter,
Authentication System,Credentialing,Credentialing - BPML,
Registration,Organization,Flow - Create New Administrator,
Registration,User Registration,Sign-up - Admin Registration,
Login,Login - Election Administrator,,
Login,Login - I am a Voter,,
Poll,Create QuickPoll,Create a Poll (Survey),
Poll,Create QuickPoll - without Login,Create a Quick Poll without registering,
Poll,Create QuickPoll - with Login,,
Abstain,Mark ballot Abstain - Election Level,NOTA vs Abstention,missing functionality
Abstain,Mark ballot Abstain - Race Level,Abstain / Abstention - main,missing functionality
Training,Training,Better Voting Terminology,
Translation,Voting in non-English language,adding_translations doc,
Ballot,Print out Paper Ballot,version 2.0,
Ballot,"Change Electronic Ballot (logo, org)",,
Ballot,Display Electronic Ballot (testing),,
Ballot,Election Admin - Ballot View,,BV485
Ballot,Preserve Ballot Secrecy,Preserving ballot secrecy,BV486
Ballot,Voter Access to Ballot,Low Integrity - Voter Access,
Ballot,Confirmation code - Regular Ballot,Receipt - send email - main,BV1380
Ballot,Confirmation code - Editable Ballot,missing document,missing document
Ballot,Void Ballot - Regular,Spoiling a ballot,missing document
Ballot,Void Ballot - Editable Ballot,missing document,missing document
Ballot,Download Ballots (CVR),Cast Voter Record (CVR),
Precincts,Define Precincts,,
Proxy Vote,Proxy Vote,Proxy Voting,
Certification,BetterVoting Seal - Certified Results,Certified Results - Election Reports,
Security,Test Cases - what should we create?,BetterVoting - test cases,
Security,Overview,Better Voting Technology - main,
Security,Copy unique voting url - break-glass,Copy unique voting url,
Voter,Create Voter Manually,,
Voter,Create Voter Upload CSV File,missing functionality?,
Voter,Change Voter Manually,,
Voter,Change Voter Upload CSV File,,
Voter,Delete - before casting ballot,,
Voter,Delete - after casting ballot,,
Voting Methods,Ranked Robin - Single Winner,Ranked Robin - main - BPML,BV1550
Voting Methods,Single-Winner - Approval,,
Voting Methods,Single-winner STAR - scoring/runoff divergence,scoring / runoff divergence - BPML,BV90
Voting Methods,Plurality (chose one) - Single-winner,plurality voting - first past the post,
Voting Methods,Multi-winner - Bloc STAR,Bloc STAR Voting,
Voting Methods,Multi-winner Plurality,Multi-winner Plurality,Multi-winner Plurality
Establish Election Procedures,Handling ties,Ties main - STAR Voting,
Tabulation,Distribution of Equal Support report,equal support vs equal preference,
Support Voter,Obtain Unique Voting URL,Obtain Unique Voting URL,
