Ballot ID,Housing,Schools,Parks,Transit,SmallBiz,BigBiz,TaxCuts
b1,1,2,3,4,5,6,7
b2,1,2,3,4,5,6,7
b3,1,2,3,4,5,6,7
b4,1,2,3,4,5,6,7
b5,1,2,3,4,5,6,7
b6,1,2,3,4,5,6,7
b7,1,2,3,4,5,6,7
b8,1,2,3,4,5,6,7
b9,1,2,3,4,5,6,7
b10,1,2,3,4,5,6,7
b11,1,2,3,4,5,6,7
b12,1,2,3,4,5,6,7
b13,1,2,3,4,5,6,7
b14,1,2,3,4,5,6,7
b15,1,2,3,4,5,6,7
b16,1,2,3,4,5,6,7
b17,1,2,3,4,5,6,7
b18,1,2,3,4,5,6,7
b19,1,2,3,4,5,6,7
b20,1,2,3,4,5,6,7
b21,1,2,3,4,5,6,7
b22,1,2,3,4,5,6,7
b23,1,2,3,4,5,6,7
b24,1,2,3,4,5,6,7
b25,1,2,3,4,5,6,7
b26,1,2,3,4,5,6,7
b27,1,2,3,4,5,6,7
b28,1,2,3,4,5,6,7
b29,1,2,3,4,5,6,7
b30,2,1,3,4,5,6,7
b31,2,1,3,4,5,6,7
b32,2,1,3,4,5,6,7
b33,2,1,3,4,5,6,7
b34,2,1,3,4,5,6,7
b35,2,1,3,4,5,6,7
b36,2,1,3,4,5,6,7
b37,2,1,3,4,5,6,7
b38,2,1,3,4,5,6,7
b39,2,1,3,4,5,6,7
b40,2,1,3,4,5,6,7
b41,2,1,3,4,5,6,7
b42,2,1,3,4,5,6,7
b43,2,1,3,4,5,6,7
b44,2,1,3,4,5,6,7
b45,3,2,1,4,5,6,7
b46,3,2,1,4,5,6,7
b47,3,2,1,4,5,6,7
b48,3,2,1,4,5,6,7
b49,3,2,1,4,5,6,7
b50,3,2,1,4,5,6,7
b51,3,2,1,4,5,6,7
b52,3,2,1,4,5,6,7
b53,3,2,1,4,5,6,7
b54,3,2,1,4,5,6,7
b55,3,2,1,4,5,6,7
b56,3,2,1,4,5,6,7
b57,3,2,1,4,5,6,7
b58,3,2,4,1,5,6,7
b59,4,5,6,7,1,2,3
b60,4,5,6,7,1,2,3
b61,4,5,6,7,1,2,3
b62,4,5,6,7,1,2,3
b63,4,5,6,7,1,2,3
b64,4,5,6,7,1,2,3
b65,4,5,6,7,1,2,3
b66,4,5,6,7,1,2,3
b67,4,5,6,7,1,2,3
b68,4,5,6,7,1,2,3
b69,4,5,6,7,1,2,3
b70,4,5,6,7,1,2,3
b71,4,5,6,7,1,2,3
b72,4,5,6,7,1,2,3
b73,4,5,6,7,1,2,3
b74,4,5,6,7,1,2,3
b75,4,5,6,7,1,2,3
b76,4,5,6,7,1,2,3
b77,4,5,6,7,1,2,3
b78,4,5,6,7,1,2,3
b79,4,5,6,7,1,2,3
b80,4,5,6,7,1,2,3
b81,4,5,6,7,2,1,3
b82,4,5,6,7,2,1,3
b83,4,5,6,7,2,1,3
b84,4,5,6,7,2,1,3
b85,4,5,6,7,2,1,3
b86,4,5,6,7,2,1,3
b87,4,5,6,7,2,1,3
b88,4,5,6,7,2,1,3
b89,4,5,6,7,2,1,3
b90,4,5,6,7,2,1,3
b91,4,5,6,7,2,1,3
b92,4,5,6,7,2,1,3
b93,4,5,6,7,2,1,3
b94,4,5,6,7,2,1,3
b95,4,5,6,7,2,1,3
b96,4,5,6,7,2,1,3
b97,4,5,6,7,2,1,3
b98,4,5,6,7,2,3,1
b99,4,5,6,7,2,3,1
b100,4,5,6,7,2,3,1
