Ballot ID,Reagan,Anderson,Carter
b1,1,2,3
b2,1,2,3
b3,1,2,3
b4,1,2,3
b5,1,2,3
b6,1,2,3
b7,1,2,3
b8,1,2,3
b9,1,2,3
b10,1,2,3
b11,1,2,3
b12,1,2,3
b13,1,2,3
b14,1,2,3
b15,1,2,3
b16,1,2,3
b17,1,2,3
b18,1,2,3
b19,1,2,3
b20,1,2,3
b21,1,2,3
b22,1,2,3
b23,1,2,3
b24,1,2,3
b25,1,2,3
b26,1,2,3
b27,1,2,3
b28,1,2,3
b29,1,2,3
b30,1,2,3
b31,1,2,3
b32,1,2,3
b33,1,2,3
b34,1,2,3
b35,1,2,3
b36,1,2,3
b37,1,2,3
b38,1,2,3
b39,1,2,3
b40,1,2,3
b41,1,2,3
b42,1,2,3
b43,1,2,3
b44,1,2,3
b45,1,2,3
b46,3,1,2
b47,3,1,2
b48,3,1,2
b49,3,1,2
b50,3,1,2
b51,3,1,2
b52,3,1,2
b53,3,1,2
b54,3,1,2
b55,3,1,2
b56,3,1,2
b57,3,1,2
b58,3,1,2
b59,3,1,2
b60,3,1,2
b61,3,1,2
b62,3,1,2
b63,3,1,2
b64,3,1,2
b65,3,1,2
b66,3,2,1
b67,3,2,1
b68,3,2,1
b69,3,2,1
b70,3,2,1
b71,3,2,1
b72,3,2,1
b73,3,2,1
b74,3,2,1
b75,3,2,1
b76,3,2,1
b77,3,2,1
b78,3,2,1
b79,3,2,1
b80,3,2,1
b81,3,2,1
b82,3,2,1
b83,3,2,1
b84,3,2,1
b85,3,2,1
b86,3,2,1
b87,3,2,1
b88,3,2,1
b89,3,2,1
b90,3,2,1
b91,3,2,1
b92,3,2,1
b93,3,2,1
b94,3,2,1
b95,3,2,1
b96,3,2,1
b97,3,2,1
b98,3,2,1
b99,3,2,1
b100,3,2,1
