Ballot ID,Abby,Cora,Erin,Dave,Brad
b1,1,2,3,4,5
b2,1,2,3,4,5
b3,1,2,3,4,5
b4,1,2,3,4,5
b5,1,2,3,4,5
b6,1,2,3,4,5
b7,1,2,3,4,5
b8,1,2,3,4,5
b9,1,2,3,4,5
b10,1,2,3,4,5
b11,1,2,3,4,5
b12,1,2,3,4,5
b13,1,2,3,4,5
b14,1,2,3,4,5
b15,1,2,3,4,5
b16,1,2,3,4,5
b17,1,2,3,4,5
b18,1,2,3,4,5
b19,1,2,3,4,5
b20,1,2,3,4,5
b21,1,2,3,4,5
b22,1,2,3,4,5
b23,1,2,3,4,5
b24,1,2,3,4,5
b25,1,2,3,4,5
b26,1,2,3,4,5
b27,1,2,3,4,5
b28,1,2,3,4,5
b29,1,2,3,4,5
b30,1,2,3,4,5
b31,1,2,3,4,5
b32,1,2,3,4,5
b33,1,2,3,4,5
b34,1,2,3,4,5
b35,1,2,3,4,5
b36,1,2,3,4,5
b37,1,2,3,4,5
b38,1,2,3,4,5
b39,1,2,3,4,5
b40,1,2,3,4,5
b41,1,2,3,4,5
b42,1,2,3,4,5
b43,1,2,3,4,5
b44,1,2,3,4,5
b45,1,2,3,4,5
b46,1,2,3,4,5
b47,1,2,3,4,5
b48,1,2,3,4,5
b49,1,2,3,4,5
b50,1,2,3,4,5
b51,1,2,3,4,5
b52,1,2,3,4,5
b53,1,2,3,4,5
b54,1,2,3,4,5
b55,1,2,3,4,5
b56,1,2,3,4,5
b57,1,2,3,4,5
b58,1,2,3,4,5
b59,1,2,3,4,5
b60,1,2,3,4,5
b61,1,2,3,4,5
b62,1,2,3,4,5
b63,1,2,3,4,5
b64,1,2,3,4,5
b65,1,2,3,4,5
b66,1,2,3,4,5
b67,1,2,3,4,5
b68,1,2,3,4,5
b69,1,2,3,4,5
b70,1,2,3,4,5
b71,1,2,3,4,5
b72,1,2,3,4,5
b73,1,2,3,4,5
b74,1,2,3,4,5
b75,1,2,3,4,5
b76,1,2,3,4,5
b77,1,2,3,4,5
b78,1,2,3,4,5
b79,1,2,3,4,5
b80,1,2,3,4,5
b81,1,2,3,4,5
b82,1,2,3,4,5
b83,1,2,3,4,5
b84,1,2,3,4,5
b85,1,2,3,4,5
b86,1,2,3,4,5
