Ballot ID,Ada,Cleo,Ben,Dev,Eli
b1,1,2,,,
b2,1,2,,,
b3,1,2,,,
b4,1,2,,,
b5,1,2,,,
b6,1,2,,,
b7,1,2,,,
b8,1,2,,,
b9,1,2,,,
b10,1,2,,,
b11,1,2,,,
b12,1,2,,,
b13,1,2,,,
b14,1,2,,,
b15,1,2,,,
b16,,,1,2,
b17,,,1,2,
b18,,,1,2,
b19,,,1,2,
b20,,,1,2,
b21,,,1,2,
b22,,,1,2,
b23,,,1,2,
b24,,,1,2,
b25,,,1,2,
b26,,,1,2,
b27,,,1,2,
b28,,,1,2,
b29,,,1,2,
b30,,1,,,2
b31,,1,,,2
b32,,1,,,2
b33,,1,,,2
b34,,1,,,2
b35,,1,,,2
b36,,1,,,2
b37,,1,,,2
b38,,2,,1,
b39,,2,,1,
b40,,2,,1,
b41,,2,,1,
b42,,2,,1,
b43,,2,,1,
b44,,2,,1,
b45,,,,2,1
b46,,,,2,1
b47,,,,2,1
b48,,,,2,1
b49,,,,2,1
b50,,,,2,1
