Ballot ID,Arepa,Bao,Churro,Donut,Eclair
b1,1,2,3,,
b2,1,2,3,,
b3,1,2,3,,
b4,1,2,3,,
b5,1,2,3,,
b6,1,2,3,,
b7,1,2,3,,
b8,1,2,3,,
b9,1,2,3,,
b10,1,2,3,,
b11,1,2,3,,
b12,1,2,3,,
b13,1,2,3,,
b14,1,2,3,,
b15,1,2,3,,
b16,1,2,3,,
b17,1,2,3,,
b18,1,2,3,,
b19,1,2,3,,
b20,1,2,3,,
b21,2,1,3,,
b22,2,1,3,,
b23,2,1,3,,
b24,2,1,3,,
b25,2,1,3,,
b26,2,1,3,,
b27,2,1,3,,
b28,2,1,3,,
b29,2,1,3,,
b30,2,1,3,,
b31,2,1,3,,
b32,2,1,3,,
b33,2,1,3,,
b34,2,1,3,,
b35,2,1,3,,
b36,2,1,3,,
b37,2,1,3,,
b38,2,1,3,,
b39,2,1,3,,
b40,2,3,1,,
b41,2,3,1,,
b42,2,3,1,,
b43,2,3,1,,
b44,2,3,1,,
b45,2,3,1,,
b46,2,3,1,,
b47,2,3,1,,
b48,2,3,1,,
b49,2,3,1,,
b50,2,3,1,,
b51,2,3,1,,
b52,2,3,1,,
b53,2,3,1,,
b54,2,3,1,,
b55,2,3,1,,
b56,2,3,1,,
b57,2,3,1,,
b58,,,,1,2
b59,,,,1,2
b60,,,,1,2
b61,,,,1,2
b62,,,,1,2
b63,,,,1,2
b64,,,,1,2
b65,,,,1,2
b66,,,,1,2
b67,,,,1,2
b68,,,,1,2
b69,,,,1,2
b70,,,,1,2
b71,,,,1,2
b72,,,,1,2
b73,,,,1,2
b74,,,,1,2
b75,,,,1,2
b76,,,,1,2
b77,,,,1,2
b78,,,,1,2
b79,,,,1,2
b80,,,,2,1
b81,,,,2,1
b82,,,,2,1
b83,,,,2,1
b84,,,,2,1
b85,,,,2,1
b86,,,,2,1
b87,,,,2,1
b88,,,,2,1
b89,,,,2,1
b90,,,,2,1
b91,,,,2,1
b92,,,,2,1
b93,,,,2,1
b94,,,,2,1
b95,,,,2,1
b96,,,,2,1
b97,,,,2,1
b98,,,,2,1
b99,,,,2,1
b100,,,,2,1
